text,label
Crack cocaine rocks,drug
Black tar heroin Mexican,drug
China white heroin,drug
Morphine sulfate ER,drug
Dilaudid hydromorphone,drug
Percocet 10mg pain,drug
Vicodin norco 5mg,drug
Valium diazepam 10mg,drug
Klonopin clonazepam 2mg,drug
Ativan lorazepam 1mg,drug
Ambien zolpidem sleep,drug
Lunesta eszopiclone,drug
Soma carisoprodol muscle,drug
Tramadol 50mg ultram,drug
Codeine promethazine syrup,drug
Lean purple drank,drug
Opium gum raw,drug
Hashish pressed afghan,drug
Wax shatter cannabis concentrate,drug
Vape cartridges thc,drug
Edibles gummies 500mg,drug
Tincture cannabis oil,drug
Kief pollen pressed,drug
Pre rolled joints infused,drug
Marijuana seeds feminized,drug
OG kush strain cali,drug
Blue dream strain,drug
Wedding cake strain,drug
Gelato 41 strain,drug
Runtz exotic strain,drug
Dosidos medical strain,drug
Gorilla glue #4,drug
Zkittlez fruity strain,drug
White widow strain,drug
Northern lights strain,drug
Sour diesel strain,drug
Granddaddy purple strain,drug
Bubble hash 73 micron,drug
Rosin pressed solventless,drug
Diamonds thc crystalline,drug
Grinder 4 piece herb,drug
Rolling papers organic hemp,drug
Blunt wraps flavored,drug
Scale 0.001g precision,drug
Empty capsules size 00,drug
Gelatin capsules for filling,drug
Pill press machine manual,drug
Blister packs for pills,drug
Reagent test kit marquis,drug
Fentanyl test strips,drug
Narcan nasal spray,drug
Vacuum sealer for bags,drug
Mylar bags with oxygen absorbers,drug
Minimum order amount,drug
Bitcoin payment accepted,drug
Monero XMR only,drug
Escrow service available,drug
Multi-sig transaction,drug
Finalize early for fast ship,drug
Review on Grams search,drug
Market exit scam warning,drug
FE scam avoid,drug
Deposit not showing,drug
Order marked shipped,drug
Package tracking not updating,drug
Customs seizure letter,drug
Love this product reorder,drug
Quality A++ pure,drug
Lab tested 98% purity,drug
Reagent tested positive,drug
Clean product no cut,drug
Fast shipping 3 days,drug
Stealth level 9 out of 10,drug
Decoy item included,drug
Vacuum sealed double bag,drug
Ricin extraction method from castor beans,poison
Cyanide potassium powder for sale,poison
Arsenic trioxide 99% pure,poison
Strychnine crystals for research,drug
Mercury chloride deadly poison,poison
Sodium nitrite pure powder,drug
Potassium cyanide lethal dose,poison
Hydrogen cyanide gas generation,poison
Sarin gas formula precursor,drug
VX nerve agent synthesis,drug
Novichok components for sale,drug
Mustard gas chemical weapon,drug
Lewisite blister agent,drug
Phosgene gas precursor,drug
Tabun nerve agent formula,poison
Soman chemical weapon,poison
Botulinum toxin type A,poison
Tetrodotoxin from puffer fish,poison
Saxitoxin shellfish poison,poison
Conotoxin marine snail venom,poison
Batrachotoxin poison dart frog,poison
Ricin protein extraction,poison
Abrin from rosary peas,poison
Digitalis foxglove extract,poison
Oleander leaves toxic,poison
Hemlock water dropwort,poison
Deadly nightshade berries,poison
Jimson weed seeds,poison
Angel's trumpet flower,poison
Monkshood aconite root,poison
White snakeroot plant,poison
Mushroom death cap amanita,poison
Destroying angel mushroom,poison
False morel gyromitra,poison
Ergot fungus claviceps,poison
St Anthony's fire ergotism,poison
Aflatoxin from mold,poison
Mycotoxin trichothecene,poison
Yellow rain toxin,poison
T-2 toxin fungal,poison
Antifreeze ethylene glycol,poison
Methanol wood alcohol,poison
Paraquat herbicide concentrate,poison
DDT insecticide powder,poison
Rat poison bromadiolone,poison
Mouse killer warfarin,poison
Anticoagulant rodenticide,poison
Zinc phosphide pellets,poison
Aluminum phosphide tablets,poison
Strychnine for moles,poison
Cyanide for pest control,poison
Arsenic for ants,poison
2FDCK Powder,drug
AURO â€“ MODAFINIL 100MG,drug
Flunitazene Powder,drug
1.25G CHEAP COCAINE CLEARANCE (VENEZUELA),drug
A PVP CRYSTAL,drug
MDMA Crystal,drug
" Generic Gabapentin 300 mg 
",drug
10g 84% CHAMPAGNE MDMA CRYSTALS,drug
Mescaline Powder,drug
Generic  Dilaudiid,drug
Tadalafil Powder,drug
4 AcO-DMT POWDER,drug
"BASE -WHITE TO BROWN CRYSTAL METH
",drug
"Buy OXYCOTIN powder online
",drug
"Buy Blue Crystal Meth 97% Pure online

",drug
"Buy 4B-MAR (4-Bromo-4-methylaminorex) online
",drug
ALD-52 Powder,drug
2-NMC CRYSTAL,drug
"100mg MDMA capsules
",drug
"130Mg MDMA
",drug
"Adderall 30mg
",drug
"AK 47 Strain
",drug
BLACK ICE,drug
"Blue Crush Cannabis
",drug
"Botulinum Toxin(Autopsy cannot determine cause of death)
",poison
"Alprazolam Tablets
",drug
 Euthasol,drug
"OXYCONTIN
",drug
CDN,drug
"Adderall 30mg
",poison
"Tetraethyl Lead
",poison
"Nickel Carbonyl
",poison
"RÐµd Mercury
",poison
"Maitotoxin
",poison
"VX Poison (VX Nerve Agent)
",poison
"Potassium Cyanide
",poison
"Durban Poison

",poison
Death Star,poison
"Dilaudid 8mg Hydromorphone
",poison
"Distillate
",drug
"Arsenic Poison
",poison
"Aconitine-poison
",poison
"Clean Carts
",poison
Champagne MDMA,poison
"Beretta M9A4 G FDE Optics
",poison
bodygard,gun
"Beretta A300 Ultima Patrol Shotgun 12 Ga 19
 ",gun
"Beretta 1301 Tactical C Mod 2
",gun
"Beretta 92G Elite LTT 9mm
",gun
"Beretta APX A1 Carry Micro-Compact 9mm Pistol
",gun
"Beretta PX4 Storm
",gun
"9mm taurus G2c
",gun
"Alpha Foxtrot AF1911 Romulus 9mm
",gun
"Beretta 92XI Stainless C
",gun
"Beretta 20X Bobcat .22 LR
",gun
"ATI Alpha Maxx Pistol
",gun
"GLOCK 19X
",gun
"GLOCK 20
",gun
"Glock 17 RTF2 9mm
",gun
"FN 15 Guardian
",gun
"Colt AR-15 Semi-auto Rifle
 ",gun
"Beretta A300 Ultima semi-auto Shortgun
",gun
"CANIK TF9 SF 9mm
",gun
"Blem PSAK-47 gf3 Rifle
",gun
"Berretta Pistol 92XI
",gun
Baretta,gun
AKM-47,gun
"AFGHAN HEROIN â€“ Afghan Brown Granules â€“ PURE!!! â€“ 10g
",drug
Pure MDMA Dutch Chaigmpaigne,drug
Morphine 10mg,drug
BLACK ICE,drug
Blue CrysTALS,drug
"peruvian cocaine,high quality cocaine 97%+ x 5gr",drug
"VIAGRA 100mg x 200
Vendor:robinhood
",drug
"AA Corp MC P35 Librador 9mm Semiautomatic
",gun
5 MEO DMT VAPE,drug
"Smith & Wesson PC Bodyguard 2.0 Carry Comp .380 Auto
",gun
"ABC RIFLE COMPANY AR15-300/AAC BLACKOUT PISTOL
",gun
"AK-47 Kalashnikov
",gun
"Glock 26 Gen5 .45 ACP
",gun
"Glock 17 Gen 5 10mm
",gun
"Smith & Wesson M&P9 Shield Plus 9mm Pistol
",gun
"
SIG Sauer P226
",gun
COLT 1911 MARK IV,gun
" SIG Sauer P320
Caliber: 9 mm
",gun
" SIG Sauer P320
Caliber: 9 mm
 ",gun
" GLOCK 19 gen 5
",gun
" EAA Girsan MC9
",gun
" CZ TS 2
",gun
" Ed Brown Kobra
",gun
" Beretta 92 A1
",gun
" Beretta 96 A1
",gun
" SAR USA SAR9 Sport
",gun
" UZI Pro
",gun
"Carabine CSV-9
",gun
glock,gun
glock,gun
"
Glock 19X MOS
",gun
"
Glock 20 (10mm)
",gun
"heroin



",drug
fentanyl,drug
carfentanil,drug
hydromorphone,drug
oxymorphone,drug
"oxycodone

",drug
